,EMOTION,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
57,Joy,0.56883025,0.5928328,0.59992605,0.5288207,0.47835442,0.48112354,0.4684759,0.49709448,0.5686584,0.5668435,0.5945187,0.5888162,-460.23444,114.54484,-1.6914463,33.381866,-0.8200536,11.727371,-4.612343,7.6038876,0.7095385,4.7518888,9.168519,-2.2434888,4.03533,0.41203356,4.78766,-0.7565014,0.47205362,-1.8916354,1.2522877,-0.84620005
58,Joy,0.5056836,0.35014832,0.3116645,0.39484212,0.38691136,0.37859595,0.27351546,0.2398505,0.37556884,0.46841207,0.47125134,0.6817685,-366.16492,150.25784,-2.038465,13.569106,1.3621415,-9.490635,-12.214999,7.8096194,-4.7045355,-5.259691,3.9962137,-3.0874918,3.0894616,-1.4624556,-0.0135996835,-2.2482073,-6.319724,-5.698821,-1.5754298,-1.6640072
59,Joy,0.40259224,0.42548063,0.39498258,0.45054632,0.43671155,0.42593879,0.39618117,0.39220962,0.4128345,0.42953718,0.40654403,0.39781186,-336.459,135.75589,-10.460678,18.121338,4.3643947,-3.4013474,-13.279123,4.2434845,-8.143648,-3.638569,9.877269,-3.2536662,-1.1895483,-3.1190124,-2.7041292,-2.5070658,-3.9442308,-5.0651736,0.18552385,-2.4708357
60,Joy,0.66609186,0.6450911,0.5977317,0.54159784,0.48363933,0.50302845,0.5053258,0.4727113,0.52707636,0.55651927,0.58945155,0.60767007,-455.00595,107.20147,-8.025521,21.764849,4.536037,13.897555,-2.4283032,5.2989707,0.905135,0.95995855,8.053334,1.912859,4.45654,0.3405706,3.707765,1.0367734,1.2367967,-0.793845,-0.25558844,0.5387546
61,Joy,0.47952166,0.38571584,0.35666418,0.4316473,0.42528075,0.4059476,0.37508616,0.33190548,0.41334623,0.44042838,0.44579288,0.55757517,-366.8007,138.664,-3.0705428,22.890207,4.9946823,0.6166648,-14.857338,-3.1327875,-7.436537,-5.0912886,4.1373453,-0.24179824,3.344949,-2.910246,0.08307831,-0.099944,-3.7299154,-3.8128207,0.6337816,-3.806746
62,Joy,0.35495123,0.44616088,0.40694323,0.43857113,0.35069138,0.19590953,0.18203916,0.18427551,0.2329586,0.4926071,0.5642388,0.43931848,-386.43274,156.95728,-5.089046,36.76193,-4.5453377,-3.0609434,-10.088427,1.9085462,-8.865614,-7.571955,8.045319,-4.867075,-3.969228,-5.1609316,0.23857555,1.8776983,-3.4346828,-6.5432515,2.9397776,-2.6452336
63,Joy,0.429527,0.4675292,0.4795833,0.50007594,0.39077458,0.34100688,0.35596693,0.3777997,0.37643278,0.54520816,0.5321887,0.4473153,-386.65887,131.68317,-14.148844,32.761993,7.7666206,5.566585,-6.3995805,-1.8135139,-5.6379933,-5.8309693,4.5523996,-0.7295307,-0.9560347,-2.9543638,2.4443061,2.4909797,-2.5789487,-5.2347455,3.2272465,0.29919535
64,Joy,0.44150123,0.4842893,0.48262277,0.58878636,0.5643895,0.3203783,0.25162536,0.30506638,0.31165972,0.35314155,0.483225,0.4794396,-341.14435,150.3589,-19.576437,29.06271,1.014271,1.392897,-4.0387435,3.3749843,-13.533009,-15.717846,4.0275598,1.545162,1.2652144,-3.1702716,0.6345026,0.1577444,-2.656373,-6.970142,1.9650824,0.2506414
65,Joy,0.39226094,0.44833097,0.40896475,0.46513706,0.4360594,0.2311382,0.19561745,0.25595233,0.25127435,0.39269665,0.483515,0.42471582,-326.03436,164.5603,-24.024303,33.841045,-2.8775473,-2.5132413,-12.287606,-1.0708646,-12.269916,-13.044419,6.8152657,-3.9419873,-4.181564,-2.9596179,-3.3478885,-1.6221639,-2.7023966,-9.897679,1.4518464,-1.760472
66,Joy,0.39486265,0.42610255,0.5143326,0.47107825,0.39321232,0.23877051,0.23861279,0.30436903,0.2765998,0.3109629,0.47510806,0.47745866,-314.593,134.32759,-13.150867,28.123144,12.719458,3.0596225,-14.365138,-4.9966283,-8.192035,-14.62331,4.133038,-3.4629498,-7.776435,-0.65330046,-1.2920957,0.07038646,-2.0318925,-8.9058695,2.4351134,0.56694895
